IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.13.223,4,4,0.00,46.11,0.00,N/A
104.24.165.48,4,4,0.00,46.12,0.00,N/A
141.101.122.30,4,4,0.00,46.14,0.00,N/A
104.24.14.2,4,4,0.00,46.15,0.00,N/A
104.24.11.112,4,4,0.00,46.18,0.00,N/A
104.24.186.51,4,4,0.00,46.18,0.00,N/A
104.24.15.160,4,4,0.00,46.21,0.00,N/A
104.24.10.224,4,4,0.00,46.23,0.00,N/A
104.24.38.251,4,4,0.00,46.25,0.00,N/A
104.24.163.246,4,4,0.00,46.26,0.00,N/A
198.41.223.65,4,4,0.00,46.28,0.00,N/A
198.41.200.250,4,4,0.00,46.28,0.00,N/A
162.159.3.152,4,4,0.00,46.29,0.00,N/A
198.41.202.181,4,4,0.00,46.30,0.00,N/A
104.24.195.167,4,4,0.00,46.30,0.00,N/A
198.41.215.211,4,4,0.00,46.32,0.00,N/A
104.24.204.59,4,4,0.00,46.33,0.00,N/A
198.41.207.105,4,4,0.00,46.35,0.00,N/A
198.41.222.77,4,4,0.00,46.36,0.00,N/A
104.21.234.254,4,4,0.00,46.37,0.00,N/A
104.24.191.16,4,4,0.00,46.39,0.00,N/A
104.24.9.238,4,4,0.00,46.39,0.00,N/A
198.41.214.111,4,4,0.00,46.40,0.00,N/A
104.24.152.252,4,4,0.00,46.42,0.00,N/A
198.41.193.148,4,4,0.00,46.44,0.00,N/A
198.41.206.208,4,4,0.00,46.52,0.00,N/A
104.21.233.179,4,4,0.00,46.54,0.00,N/A
198.41.203.170,4,4,0.00,46.56,0.00,N/A
104.21.231.222,4,4,0.00,46.61,0.00,N/A
104.16.8.116,4,4,0.00,46.69,0.00,N/A
104.24.192.48,4,4,0.00,46.77,0.00,N/A
104.24.171.127,4,4,0.00,46.80,0.00,N/A
162.159.235.222,4,4,0.00,46.81,0.00,N/A
104.16.3.178,4,4,0.00,46.83,0.00,N/A
104.24.199.139,4,4,0.00,46.84,0.00,N/A
104.16.14.91,4,4,0.00,46.86,0.00,N/A
104.21.222.32,4,4,0.00,46.97,0.00,N/A
104.24.193.19,4,4,0.00,46.99,0.00,N/A
104.24.33.106,4,4,0.00,47.02,0.00,N/A
104.24.32.100,4,4,0.00,47.11,0.00,N/A
104.24.201.101,4,4,0.00,47.15,0.00,N/A
104.21.217.77,4,4,0.00,47.23,0.00,N/A
104.16.1.144,4,4,0.00,47.23,0.00,N/A
104.21.210.242,4,4,0.00,47.28,0.00,N/A
104.27.14.64,4,4,0.00,47.32,0.00,N/A
104.21.214.4,4,4,0.00,47.34,0.00,N/A
104.21.236.9,4,4,0.00,47.42,0.00,N/A
104.21.235.228,4,4,0.00,47.45,0.00,N/A
104.21.220.110,4,4,0.00,47.46,0.00,N/A
104.27.16.22,4,4,0.00,47.46,0.00,N/A
162.159.21.220,4,4,0.00,47.50,0.00,N/A
104.16.2.140,4,4,0.00,47.50,0.00,N/A
104.21.213.18,4,4,0.00,47.50,0.00,N/A
162.159.24.151,4,4,0.00,47.59,0.00,N/A
104.27.18.131,4,4,0.00,47.60,0.00,N/A
162.159.8.134,4,4,0.00,47.61,0.00,N/A
162.159.15.17,4,4,0.00,47.61,0.00,N/A
162.159.26.4,4,4,0.00,47.63,0.00,N/A
162.159.193.185,4,4,0.00,47.65,0.00,N/A
162.159.27.63,4,4,0.00,47.65,0.00,N/A
162.159.19.54,4,4,0.00,47.66,0.00,N/A
162.159.20.198,4,4,0.00,47.67,0.00,N/A
162.159.1.116,4,4,0.00,47.68,0.00,N/A
162.159.6.202,4,4,0.00,47.69,0.00,N/A
162.159.5.7,4,4,0.00,47.71,0.00,N/A
162.159.22.55,4,4,0.00,47.73,0.00,N/A
162.159.23.240,4,4,0.00,47.77,0.00,N/A
162.159.18.59,4,4,0.00,47.80,0.00,N/A
162.159.25.89,4,4,0.00,47.81,0.00,N/A
162.159.9.131,4,4,0.00,47.82,0.00,N/A
162.159.2.44,4,4,0.00,47.85,0.00,N/A
104.24.39.45,4,4,0.00,47.92,0.00,N/A
104.24.170.116,4,4,0.00,47.96,0.00,N/A
198.41.194.110,4,4,0.00,48.01,0.00,N/A
104.24.160.119,4,4,0.00,48.23,0.00,N/A
104.27.205.127,4,4,0.00,48.26,0.00,N/A
104.24.159.75,4,4,0.00,48.29,0.00,N/A
104.24.162.246,4,4,0.00,48.31,0.00,N/A
104.24.169.42,4,4,0.00,48.39,0.00,N/A
104.24.157.84,4,4,0.00,48.45,0.00,N/A
104.24.23.231,4,4,0.00,48.47,0.00,N/A
104.21.228.63,4,4,0.00,48.49,0.00,N/A
104.24.179.47,4,4,0.00,48.55,0.00,N/A
104.24.68.49,4,4,0.00,48.58,0.00,N/A
104.27.197.124,4,4,0.00,48.59,0.00,N/A
104.24.168.176,4,4,0.00,48.60,0.00,N/A
104.24.18.100,4,4,0.00,48.67,0.00,N/A
104.24.189.77,4,4,0.00,48.67,0.00,N/A
104.24.22.30,4,4,0.00,48.68,0.00,N/A
104.24.190.102,4,4,0.00,48.70,0.00,N/A
104.24.17.7,4,4,0.00,48.74,0.00,N/A
198.41.211.185,4,4,0.00,48.85,0.00,N/A
198.41.209.119,4,4,0.00,48.92,0.00,N/A
104.24.145.228,4,4,0.00,48.95,0.00,N/A
198.41.192.110,4,4,0.00,48.98,0.00,N/A
198.41.205.78,4,4,0.00,48.98,0.00,N/A
198.41.208.17,4,4,0.00,49.02,0.00,N/A
198.41.204.101,4,4,0.00,49.02,0.00,N/A
198.41.195.71,4,4,0.00,49.07,0.00,N/A
198.41.196.98,4,4,0.00,49.11,0.00,N/A
198.41.198.47,4,4,0.00,49.13,0.00,N/A
198.41.197.229,4,4,0.00,49.14,0.00,N/A
198.41.216.93,4,4,0.00,49.17,0.00,N/A
198.41.218.233,4,4,0.00,49.19,0.00,N/A
198.41.199.61,4,4,0.00,49.19,0.00,N/A
104.21.223.219,4,4,0.00,49.37,0.00,N/A
104.24.155.96,4,4,0.00,49.47,0.00,N/A
104.21.216.161,4,4,0.00,49.68,0.00,N/A
104.21.218.137,4,4,0.00,49.80,0.00,N/A
104.21.237.34,4,4,0.00,49.85,0.00,N/A
172.64.40.26,4,4,0.00,49.93,0.00,N/A
104.27.196.47,4,4,0.00,50.03,0.00,N/A
104.24.188.17,4,4,0.00,50.17,0.00,N/A
104.24.60.126,4,4,0.00,50.22,0.00,N/A
104.24.150.201,4,4,0.00,50.38,0.00,N/A
104.21.219.112,4,4,0.00,50.45,0.00,N/A
104.27.3.104,4,4,0.00,50.90,0.00,N/A
104.24.178.58,4,4,0.00,50.99,0.00,N/A
104.24.34.210,4,4,0.00,51.23,0.00,N/A
104.24.198.48,4,4,0.00,51.23,0.00,N/A
104.24.35.60,4,4,0.00,51.26,0.00,N/A
104.24.143.240,4,4,0.00,51.56,0.00,N/A
104.24.161.69,4,4,0.00,51.72,0.00,N/A
104.27.11.74,4,4,0.00,51.90,0.00,N/A
104.27.198.249,4,4,0.00,52.14,0.00,N/A
104.24.158.178,4,4,0.00,52.21,0.00,N/A
104.24.194.2,4,4,0.00,52.30,0.00,N/A
104.24.154.129,4,4,0.00,52.43,0.00,N/A
104.24.203.91,4,4,0.00,52.48,0.00,N/A
104.24.205.86,4,4,0.00,52.49,0.00,N/A
104.21.221.177,4,4,0.00,52.50,0.00,N/A
104.21.238.119,4,4,0.00,52.67,0.00,N/A
104.24.156.240,4,4,0.00,52.67,0.00,N/A
104.24.153.204,4,4,0.00,52.97,0.00,N/A
104.21.232.139,4,4,0.00,53.21,0.00,N/A
104.24.151.232,4,4,0.00,53.56,0.00,N/A
162.159.250.28,4,4,0.00,54.06,0.00,N/A
104.27.21.88,4,4,0.00,54.08,0.00,N/A
104.24.196.87,4,4,0.00,55.51,0.00,N/A
104.24.206.184,4,4,0.00,55.87,0.00,N/A
104.24.202.135,4,4,0.00,55.98,0.00,N/A
104.27.31.249,4,4,0.00,56.07,0.00,N/A
104.24.200.59,4,4,0.00,56.12,0.00,N/A
104.24.213.125,4,4,0.00,56.32,0.00,N/A
162.159.255.207,4,4,0.00,56.38,0.00,N/A
104.24.212.18,4,4,0.00,56.66,0.00,N/A
104.24.209.122,4,4,0.00,56.69,0.00,N/A
104.24.208.138,4,4,0.00,56.84,0.00,N/A
104.24.210.35,4,4,0.00,56.86,0.00,N/A
104.24.211.94,4,4,0.00,56.87,0.00,N/A
104.27.24.109,4,4,0.00,57.74,0.00,N/A
104.27.28.73,4,4,0.00,57.83,0.00,N/A
104.24.214.56,4,4,0.00,58.03,0.00,N/A
162.159.248.28,4,4,0.00,58.63,0.00,N/A
104.27.23.12,4,4,0.00,58.66,0.00,N/A
104.27.20.47,4,4,0.00,58.72,0.00,N/A
104.27.22.241,4,4,0.00,58.80,0.00,N/A
104.24.207.85,4,4,0.00,59.76,0.00,N/A
104.27.192.174,4,4,0.00,59.83,0.00,N/A
162.159.245.50,4,4,0.00,60.07,0.00,N/A
104.27.194.21,4,4,0.00,60.21,0.00,N/A
162.159.251.251,4,4,0.00,60.86,0.00,N/A
162.159.243.104,4,4,0.00,60.92,0.00,N/A
104.24.216.220,4,4,0.00,62.44,0.00,N/A
162.159.44.246,4,4,0.00,62.47,0.00,N/A
162.159.39.98,4,4,0.00,62.77,0.00,N/A
104.27.67.64,4,4,0.00,63.26,0.00,N/A
104.27.30.78,4,4,0.00,63.57,0.00,N/A
104.27.27.74,4,4,0.00,63.58,0.00,N/A
104.27.29.42,4,4,0.00,63.62,0.00,N/A
104.27.26.8,4,4,0.00,63.65,0.00,N/A
104.27.195.184,4,4,0.00,63.92,0.00,N/A
104.27.193.162,4,4,0.00,64.48,0.00,N/A
162.159.38.35,4,4,0.00,65.22,0.00,N/A
104.27.64.95,4,4,0.00,66.19,0.00,N/A
104.27.63.169,4,4,0.00,66.38,0.00,N/A
104.27.60.58,4,4,0.00,66.53,0.00,N/A
104.27.57.178,4,4,0.00,66.55,0.00,N/A
104.27.61.183,4,4,0.00,66.55,0.00,N/A
104.27.65.110,4,4,0.00,66.80,0.00,N/A
104.27.56.6,4,4,0.00,66.86,0.00,N/A
104.27.59.79,4,4,0.00,66.89,0.00,N/A
104.24.218.185,4,4,0.00,67.00,0.00,N/A
104.27.52.122,4,4,0.00,67.09,0.00,N/A
162.159.45.110,4,4,0.00,67.52,0.00,N/A
104.24.217.221,4,4,0.00,67.52,0.00,N/A
104.27.53.21,4,4,0.00,67.92,0.00,N/A
104.27.55.51,4,4,0.00,68.14,0.00,N/A
104.27.62.26,4,4,0.00,68.36,0.00,N/A
104.27.58.39,4,4,0.00,68.52,0.00,N/A
104.27.54.156,4,4,0.00,69.42,0.00,N/A
104.27.37.212,4,4,0.00,69.51,0.00,N/A
104.27.51.162,4,4,0.00,69.51,0.00,N/A
104.27.50.2,4,4,0.00,69.52,0.00,N/A
104.27.47.52,4,4,0.00,69.63,0.00,N/A
162.159.242.52,4,4,0.00,69.64,0.00,N/A
162.159.246.81,4,4,0.00,69.65,0.00,N/A
104.27.46.9,4,4,0.00,69.65,0.00,N/A
162.159.252.146,4,4,0.00,69.65,0.00,N/A
104.27.34.56,4,4,0.00,69.89,0.00,N/A
104.27.43.7,4,4,0.00,69.98,0.00,N/A
104.27.49.37,4,4,0.00,69.99,0.00,N/A
104.27.44.103,4,4,0.00,70.03,0.00,N/A
104.27.45.138,4,4,0.00,70.04,0.00,N/A
104.27.48.146,4,4,0.00,70.17,0.00,N/A
104.27.36.100,4,4,0.00,70.19,0.00,N/A
162.159.244.140,4,4,0.00,70.22,0.00,N/A
104.16.22.118,4,4,0.00,70.30,0.00,N/A
104.16.31.86,4,4,0.00,70.55,0.00,N/A
104.27.25.131,4,4,0.00,70.78,0.00,N/A
104.27.39.113,4,4,0.00,70.94,0.00,N/A
104.24.219.137,4,4,0.00,70.96,0.00,N/A
104.16.34.156,4,4,0.00,71.21,0.00,N/A
104.16.28.110,4,4,0.00,71.41,0.00,N/A
104.16.25.187,4,4,0.00,71.55,0.00,N/A
104.16.32.166,4,4,0.00,71.57,0.00,N/A
104.16.20.248,4,4,0.00,71.63,0.00,N/A
104.27.38.6,4,4,0.00,71.76,0.00,N/A
104.16.30.146,4,4,0.00,71.77,0.00,N/A
104.16.21.229,4,4,0.00,71.79,0.00,N/A
104.16.26.65,4,4,0.00,71.90,0.00,N/A
104.27.40.72,4,4,0.00,71.91,0.00,N/A
104.16.27.98,4,4,0.00,71.97,0.00,N/A
104.27.42.249,4,4,0.00,72.43,0.00,N/A
104.16.23.18,4,4,0.00,72.52,0.00,N/A
104.27.32.254,4,4,0.00,72.59,0.00,N/A
104.27.41.14,4,4,0.00,72.65,0.00,N/A
104.16.17.238,4,4,0.00,72.70,0.00,N/A
104.27.33.198,4,4,0.00,72.83,0.00,N/A
104.27.35.23,4,4,0.00,73.01,0.00,N/A
162.159.254.224,4,4,0.00,73.44,0.00,N/A
104.16.19.179,4,4,0.00,73.44,0.00,N/A
104.16.18.10,4,4,0.00,73.92,0.00,N/A
104.27.73.172,4,4,0.00,75.68,0.00,N/A
162.159.247.99,4,4,0.00,77.03,0.00,N/A
162.159.241.213,4,4,0.00,77.03,0.00,N/A
162.159.253.25,4,4,0.00,77.06,0.00,N/A
162.159.240.219,4,4,0.00,77.19,0.00,N/A
104.24.215.121,4,4,0.00,77.30,0.00,N/A
104.29.158.174,4,4,0.00,78.50,0.00,N/A
104.16.16.93,4,4,0.00,78.84,0.00,N/A
104.27.66.98,4,4,0.00,78.90,0.00,N/A
104.16.33.247,4,4,0.00,78.99,0.00,N/A
104.24.220.43,4,4,0.00,79.09,0.00,N/A
104.27.127.60,4,4,0.00,79.11,0.00,N/A
104.27.126.105,4,4,0.00,79.29,0.00,N/A
104.16.24.246,4,4,0.00,79.64,0.00,N/A
104.27.78.84,4,4,0.00,79.96,0.00,N/A
104.27.123.180,4,4,0.00,80.14,0.00,N/A
104.27.125.220,4,4,0.00,80.27,0.00,N/A
104.27.108.81,4,4,0.00,80.33,0.00,N/A
104.27.106.15,4,4,0.00,80.36,0.00,N/A
104.16.67.215,4,4,0.00,80.45,0.00,N/A
104.16.69.41,4,4,0.00,80.52,0.00,N/A
104.27.104.153,4,4,0.00,80.52,0.00,N/A
104.27.103.60,4,4,0.00,80.56,0.00,N/A
104.27.102.67,4,4,0.00,80.65,0.00,N/A
104.16.70.39,4,4,0.00,80.71,0.00,N/A
104.27.68.206,4,4,0.00,81.08,0.00,N/A
104.27.69.225,4,4,0.00,81.27,0.00,N/A
104.16.65.71,4,4,0.00,81.28,0.00,N/A
104.27.83.179,4,4,0.00,81.31,0.00,N/A
162.159.249.130,4,4,0.00,81.34,0.00,N/A
104.27.99.98,4,4,0.00,81.49,0.00,N/A
104.16.66.231,4,4,0.00,81.52,0.00,N/A
104.16.39.177,4,4,0.00,81.79,0.00,N/A
104.27.95.135,4,4,0.00,81.84,0.00,N/A
104.27.90.195,4,4,0.00,81.84,0.00,N/A
104.16.48.76,4,4,0.00,81.87,0.00,N/A
104.16.41.204,4,4,0.00,81.89,0.00,N/A
104.27.91.60,4,4,0.00,81.90,0.00,N/A
104.27.116.95,4,4,0.00,81.97,0.00,N/A
104.29.152.121,4,4,0.00,81.98,0.00,N/A
104.24.222.198,4,4,0.00,82.01,0.00,N/A
104.27.110.249,4,4,0.00,82.05,0.00,N/A
104.16.40.213,4,4,0.00,82.07,0.00,N/A
104.16.45.63,4,4,0.00,82.08,0.00,N/A
104.27.109.121,4,4,0.00,82.27,0.00,N/A
104.16.44.142,4,4,0.00,82.48,0.00,N/A
104.16.42.4,4,4,0.00,82.61,0.00,N/A
104.27.107.41,4,4,0.00,82.64,0.00,N/A
104.16.43.233,4,4,0.00,82.69,0.00,N/A
104.16.35.29,4,4,0.00,82.79,0.00,N/A
104.27.101.209,4,4,0.00,82.81,0.00,N/A
104.16.71.2,4,4,0.00,82.91,0.00,N/A
104.27.121.83,4,4,0.00,82.97,0.00,N/A
104.27.105.110,4,4,0.00,82.97,0.00,N/A
104.16.38.26,4,4,0.00,83.07,0.00,N/A
104.16.37.117,4,4,0.00,83.08,0.00,N/A
104.27.122.124,4,4,0.00,83.08,0.00,N/A
104.16.47.2,4,4,0.00,83.20,0.00,N/A
104.16.68.130,4,4,0.00,83.23,0.00,N/A
104.16.36.28,4,4,0.00,83.27,0.00,N/A
104.16.46.65,4,4,0.00,83.39,0.00,N/A
104.27.82.214,4,4,0.00,83.42,0.00,N/A
104.16.59.153,4,4,0.00,83.54,0.00,N/A
104.27.100.60,4,4,0.00,83.66,0.00,N/A
104.27.80.201,4,4,0.00,83.67,0.00,N/A
104.27.124.146,4,4,0.00,83.67,0.00,N/A
104.16.50.8,4,4,0.00,83.68,0.00,N/A
104.27.76.2,4,4,0.00,83.69,0.00,N/A
104.16.57.57,4,4,0.00,83.72,0.00,N/A
104.16.52.114,4,4,0.00,83.73,0.00,N/A
104.16.58.104,4,4,0.00,83.73,0.00,N/A
104.27.81.59,4,4,0.00,83.73,0.00,N/A
104.27.85.62,4,4,0.00,83.92,0.00,N/A
104.27.79.240,4,4,0.00,83.93,0.00,N/A
104.27.74.183,4,4,0.00,83.97,0.00,N/A
104.27.84.252,4,4,0.00,83.98,0.00,N/A
104.16.63.167,4,4,0.00,84.05,0.00,N/A
104.27.97.68,4,4,0.00,84.13,0.00,N/A
104.16.55.128,4,4,0.00,84.15,0.00,N/A
104.27.98.112,4,4,0.00,84.15,0.00,N/A
104.16.49.212,4,4,0.00,84.15,0.00,N/A
104.27.93.102,4,4,0.00,84.19,0.00,N/A
104.27.88.75,4,4,0.00,84.28,0.00,N/A
104.16.51.234,4,4,0.00,84.28,0.00,N/A
104.27.96.151,4,4,0.00,84.29,0.00,N/A
104.16.62.48,4,4,0.00,84.29,0.00,N/A
104.27.94.129,4,4,0.00,84.29,0.00,N/A
104.27.89.80,4,4,0.00,84.38,0.00,N/A
104.27.92.24,4,4,0.00,84.39,0.00,N/A
104.16.53.236,4,4,0.00,84.43,0.00,N/A
104.16.61.69,4,4,0.00,84.45,0.00,N/A
104.16.54.219,4,4,0.00,84.50,0.00,N/A
104.27.115.84,4,4,0.00,84.74,0.00,N/A
104.27.117.184,4,4,0.00,84.76,0.00,N/A
104.27.114.199,4,4,0.00,84.76,0.00,N/A
104.27.119.228,4,4,0.00,84.86,0.00,N/A
104.27.120.239,4,4,0.00,84.86,0.00,N/A
104.27.113.39,4,4,0.00,84.90,0.00,N/A
104.16.83.95,4,4,0.00,84.91,0.00,N/A
104.27.112.20,4,4,0.00,84.93,0.00,N/A
104.27.111.112,4,4,0.00,84.97,0.00,N/A
104.27.70.164,4,4,0.00,85.01,0.00,N/A
104.16.81.70,4,4,0.00,85.13,0.00,N/A
104.16.29.227,4,4,0.00,85.71,0.00,N/A
104.27.75.249,4,4,0.00,85.93,0.00,N/A
104.27.77.247,4,4,0.00,85.96,0.00,N/A
104.27.72.211,4,4,0.00,86.20,0.00,N/A
104.27.87.48,4,4,0.00,86.21,0.00,N/A
104.16.64.211,4,4,0.00,86.27,0.00,N/A
104.27.86.166,4,4,0.00,86.36,0.00,N/A
104.16.79.104,4,4,0.00,86.44,0.00,N/A
104.16.80.97,4,4,0.00,86.45,0.00,N/A
104.16.56.121,4,4,0.00,86.57,0.00,N/A
104.16.60.22,4,4,0.00,86.65,0.00,N/A
104.16.76.61,4,4,0.00,87.27,0.00,N/A
104.24.223.120,4,4,0.00,87.28,0.00,N/A
104.16.78.81,4,4,0.00,87.33,0.00,N/A
104.24.221.165,4,4,0.00,87.51,0.00,N/A
104.16.74.150,4,4,0.00,87.56,0.00,N/A
104.16.77.127,4,4,0.00,88.17,0.00,N/A
104.27.118.77,4,4,0.00,88.21,0.00,N/A
104.16.75.50,4,4,0.00,88.28,0.00,N/A
104.16.72.58,4,4,0.00,88.42,0.00,N/A
104.16.73.247,4,4,0.00,88.46,0.00,N/A
104.27.71.254,4,4,0.00,88.93,0.00,N/A
104.24.232.246,4,4,0.00,89.19,0.00,N/A
104.24.229.70,4,4,0.00,89.32,0.00,N/A
104.24.233.144,4,4,0.00,89.35,0.00,N/A
104.24.231.17,4,4,0.00,89.45,0.00,N/A
104.24.227.93,4,4,0.00,89.48,0.00,N/A
104.24.230.204,4,4,0.00,89.60,0.00,N/A
104.24.228.202,4,4,0.00,90.34,0.00,N/A
104.24.255.115,4,4,0.00,90.60,0.00,N/A
104.24.251.223,4,4,0.00,90.60,0.00,N/A
104.24.243.64,4,4,0.00,90.72,0.00,N/A
104.16.87.106,4,4,0.00,90.74,0.00,N/A
104.24.235.43,4,4,0.00,90.79,0.00,N/A
104.24.245.196,4,4,0.00,90.84,0.00,N/A
104.24.239.234,4,4,0.00,90.86,0.00,N/A
104.24.252.182,4,4,0.00,90.92,0.00,N/A
104.24.249.226,4,4,0.00,90.99,0.00,N/A
104.16.88.102,4,4,0.00,91.12,0.00,N/A
104.25.2.40,4,4,0.00,91.19,0.00,N/A
104.24.254.197,4,4,0.00,91.25,0.00,N/A
104.16.84.171,4,4,0.00,91.26,0.00,N/A
104.24.246.111,4,4,0.00,91.26,0.00,N/A
104.24.241.79,4,4,0.00,91.27,0.00,N/A
104.24.242.207,4,4,0.00,91.34,0.00,N/A
104.24.237.186,4,4,0.00,91.43,0.00,N/A
104.16.85.236,4,4,0.00,91.46,0.00,N/A
104.16.82.124,4,4,0.00,91.59,0.00,N/A
104.24.226.92,4,4,0.00,91.78,0.00,N/A
104.24.225.201,4,4,0.00,91.92,0.00,N/A
104.24.224.55,4,4,0.00,92.22,0.00,N/A
104.25.5.34,4,4,0.00,93.59,0.00,N/A
104.16.108.230,4,4,0.00,93.89,0.00,N/A
104.25.6.103,4,4,0.00,94.01,0.00,N/A
104.25.4.41,4,4,0.00,94.44,0.00,N/A
104.16.106.193,4,4,0.00,94.67,0.00,N/A
104.16.111.233,4,4,0.00,94.74,0.00,N/A
104.25.8.183,4,4,0.00,94.75,0.00,N/A
104.16.110.206,4,4,0.00,94.86,0.00,N/A
104.16.109.246,4,4,0.00,95.11,0.00,N/A
104.16.107.208,4,4,0.00,95.41,0.00,N/A
104.25.1.106,4,4,0.00,95.44,0.00,N/A
104.24.248.44,4,4,0.00,95.50,0.00,N/A
104.24.247.12,4,4,0.00,95.69,0.00,N/A
104.24.236.234,4,4,0.00,95.91,0.00,N/A
104.24.240.142,4,4,0.00,95.92,0.00,N/A
104.24.238.77,4,4,0.00,95.97,0.00,N/A
104.24.253.53,4,4,0.00,96.08,0.00,N/A
104.24.250.193,4,4,0.00,96.37,0.00,N/A
104.24.244.137,4,4,0.00,96.47,0.00,N/A
104.24.234.36,4,4,0.00,96.66,0.00,N/A
104.16.104.193,4,4,0.00,97.23,0.00,N/A
104.16.96.145,4,4,0.00,97.28,0.00,N/A
104.16.91.229,4,4,0.00,97.31,0.00,N/A
104.16.97.99,4,4,0.00,97.31,0.00,N/A
172.64.78.139,4,4,0.00,97.35,0.00,N/A
104.16.101.184,4,4,0.00,97.48,0.00,N/A
104.16.89.132,4,4,0.00,97.49,0.00,N/A
104.16.90.216,4,4,0.00,97.55,0.00,N/A
104.16.105.134,4,4,0.00,97.57,0.00,N/A
104.16.103.189,4,4,0.00,97.60,0.00,N/A
104.16.92.10,4,4,0.00,97.67,0.00,N/A
104.16.95.80,4,4,0.00,97.71,0.00,N/A
104.16.100.223,4,4,0.00,97.75,0.00,N/A
104.16.98.98,4,4,0.00,97.80,0.00,N/A
104.16.99.125,4,4,0.00,97.82,0.00,N/A
104.16.86.172,4,4,0.00,98.07,0.00,N/A
104.16.102.70,4,4,0.00,98.16,0.00,N/A
104.16.94.85,4,4,0.00,98.43,0.00,N/A
104.29.156.165,4,4,0.00,98.45,0.00,N/A
104.29.159.209,4,4,0.00,98.45,0.00,N/A
104.29.155.34,4,4,0.00,98.48,0.00,N/A
104.16.93.26,4,4,0.00,98.53,0.00,N/A
104.29.157.112,4,4,0.00,98.54,0.00,N/A
104.25.16.140,4,4,0.00,100.29,0.00,N/A
104.25.35.190,4,4,0.00,100.42,0.00,N/A
104.16.140.236,4,4,0.00,100.68,0.00,N/A
172.64.39.16,4,4,0.00,100.94,0.00,N/A
104.16.139.253,4,4,0.00,101.29,0.00,N/A
104.16.126.55,4,4,0.00,101.37,0.00,N/A
104.16.112.56,4,4,0.00,102.25,0.00,N/A
104.16.136.93,4,4,0.00,102.34,0.00,N/A
104.16.114.233,4,4,0.00,102.42,0.00,N/A
104.16.113.244,4,4,0.00,102.68,0.00,N/A
104.16.120.177,4,4,0.00,102.74,0.00,N/A
104.16.118.246,4,4,0.00,102.78,0.00,N/A
104.25.7.93,4,4,0.00,102.84,0.00,N/A
104.16.124.80,4,4,0.00,102.94,0.00,N/A
104.25.9.172,4,4,0.00,102.96,0.00,N/A
104.16.116.137,4,4,0.00,103.39,0.00,N/A
104.25.25.168,4,4,0.00,103.87,0.00,N/A
104.25.14.32,4,4,0.00,103.92,0.00,N/A
104.25.22.176,4,4,0.00,103.92,0.00,N/A
104.25.29.158,4,4,0.00,104.01,0.00,N/A
104.16.141.140,4,4,0.00,104.01,0.00,N/A
104.25.13.208,4,4,0.00,104.06,0.00,N/A
104.25.17.242,4,4,0.00,104.12,0.00,N/A
104.16.166.192,4,4,0.00,104.12,0.00,N/A
104.16.162.178,4,4,0.00,104.25,0.00,N/A
104.16.138.108,4,4,0.00,104.34,0.00,N/A
104.16.127.234,4,4,0.00,104.34,0.00,N/A
104.16.164.153,4,4,0.00,104.49,0.00,N/A
104.16.129.230,4,4,0.00,104.54,0.00,N/A
104.16.128.235,4,4,0.00,104.63,0.00,N/A
104.17.171.95,4,4,0.00,104.63,0.00,N/A
104.16.117.75,4,4,0.00,105.02,0.00,N/A
104.25.12.230,4,4,0.00,105.33,0.00,N/A
104.20.63.136,4,4,0.00,105.34,0.00,N/A
104.16.159.194,4,4,0.00,105.42,0.00,N/A
104.16.161.102,4,4,0.00,105.47,0.00,N/A
104.25.0.137,4,4,0.00,105.47,0.00,N/A
104.20.61.220,4,4,0.00,105.52,0.00,N/A
104.25.11.76,4,4,0.00,105.70,0.00,N/A
104.16.160.96,4,4,0.00,105.74,0.00,N/A
104.20.62.242,4,4,0.00,105.78,0.00,N/A
104.16.123.75,4,4,0.00,106.11,0.00,N/A
104.16.119.210,4,4,0.00,106.23,0.00,N/A
104.16.115.29,4,4,0.00,106.30,0.00,N/A
104.16.122.74,4,4,0.00,106.44,0.00,N/A
104.16.135.167,4,4,0.00,106.50,0.00,N/A
104.17.167.32,4,4,0.00,106.54,0.00,N/A
104.17.166.133,4,4,0.00,106.58,0.00,N/A
104.16.223.164,4,4,0.00,106.79,0.00,N/A
104.17.169.90,4,4,0.00,106.80,0.00,N/A
162.159.239.16,4,4,0.00,106.80,0.00,N/A
104.16.220.106,4,4,0.00,107.13,0.00,N/A
104.16.214.243,4,4,0.00,107.14,0.00,N/A
104.16.137.79,4,4,0.00,107.28,0.00,N/A
104.17.120.150,4,4,0.00,107.31,0.00,N/A
104.16.218.123,4,4,0.00,107.41,0.00,N/A
104.16.219.197,4,4,0.00,107.44,0.00,N/A
108.162.199.218,4,4,0.00,107.49,0.00,N/A
104.17.135.70,4,4,0.00,107.54,0.00,N/A
104.25.3.65,4,4,0.00,107.58,0.00,N/A
104.17.149.123,4,4,0.00,107.60,0.00,N/A
104.16.213.123,4,4,0.00,107.71,0.00,N/A
104.17.170.125,4,4,0.00,107.85,0.00,N/A
104.17.148.95,4,4,0.00,107.92,0.00,N/A
104.16.216.134,4,4,0.00,107.92,0.00,N/A
104.17.165.99,4,4,0.00,108.03,0.00,N/A
104.17.150.133,4,4,0.00,108.11,0.00,N/A
104.16.177.25,4,4,0.00,108.13,0.00,N/A
